Server started successfully. Listening requests on  0.0.0.0:8080.
2019-1-24 21:09:52 GET Request for http://0.0.0.0:8080/ recieved
2019-1-24 21:09:52 GET Request for http://0.0.0.0:8080/bootstrap.css recieved
2019-1-24 21:09:52 GET Request for http://0.0.0.0:8080/jquery-3-3-1.min.js recieved
2019-1-24 21:09:52 GET Request for http://0.0.0.0:8080/style.css recieved
2019-1-24 21:09:52 GET Request for http://0.0.0.0:8080/bootstrap.js recieved
2019-1-24 21:09:53 GET Request for http://0.0.0.0:8080/favicon.ico recieved
No request handler found for /favicon.ico
2019-1-24 21:09:58 GET Request for http://0.0.0.0:8080/register recieved
2019-1-24 21:09:58 GET Request for http://0.0.0.0:8080/bootstrap.css recieved
2019-1-24 21:09:58 GET Request for http://0.0.0.0:8080/jquery-3-3-1.min.js recieved
2019-1-24 21:09:58 GET Request for http://0.0.0.0:8080/style.css recieved
2019-1-24 21:09:58 GET Request for http://0.0.0.0:8080/bootstrap.js recieved
2019-1-24 21:10:24 GET Request for http://0.0.0.0:8080/ recieved
2019-1-24 21:10:42 GET Request for http://0.0.0.0:8080/ recieved
